iter	smin	time	rmse
0	0	1.5665e-05	3.6791
1	533.361	1.42452	2.93631
2	916.95	2.77845	2.43856
3	1241.72	4.12836	2.1263
4	1530.21	5.49949	1.9117
5	1791.57	6.87255	1.75337
6	2030.06	8.24793	1.6313
7	2248.63	9.58235	1.5342
8	2449.66	10.9139	1.45507
9	2635.01	12.2449	1.38935
10	2806.2	13.6137	1.33394
11	2964.46	14.9774	1.28663
12	3110.83	16.3063	1.24582
13	3246.2	17.6372	1.21031
14	3371.34	18.9688	1.17919
15	3486.96	20.3002	1.15175
16	3593.69	21.6311	1.12742
17	3692.11	22.9618	1.10576
18	3782.76	24.2921	1.08637
19	3866.12	25.6234	1.06894
20	3942.64	26.9541	1.05323
21	4012.73	28.2833	1.03901
22	4076.77	29.6115	1.02609
23	4135.1	30.9408	1.01431
24	4188.04	32.2724	1.00356
25	4235.87	33.604	0.993705
26	4278.88	34.9357	0.984653
27	4317.32	36.2659	0.976317
28	4351.43	37.5944	0.968623
29	4381.43	38.9238	0.961507
30	4407.54	40.2529	0.954907
31	4429.95	41.5836	0.948779
32	4448.85	42.9228	0.943075
33	4464.42	44.2534	0.937758
34	4476.84	45.5837	0.932793
