iter	smin	time	rmse
0	0	0.000683156	3.6791
5	744.586	1.11878	2.05945
10	866.8	2.20443	1.73661
15	950.922	3.29225	1.57769
20	1016.87	4.38356	1.47916
25	1070.58	5.46928	1.41079
30	1115.21	6.55381	1.36
35	1152.76	7.64351	1.32046
40	1184.66	8.73303	1.28863
45	1211.97	9.81762	1.26234
50	1235.46	10.9082	1.24016
55	1255.76	11.9931	1.22116
60	1273.36	13.1052	1.20464
65	1288.64	14.198	1.19012
70	1301.93	15.2954	1.17723
75	1313.47	16.3853	1.1657
80	1323.5	17.4763	1.15529
85	1332.2	18.5831	1.14584
90	1339.71	19.6766	1.13721
95	1346.17	20.7745	1.1293
100	1351.69	21.871	1.122
105	1356.35	22.9675	1.11524
110	1360.28	24.0608	1.10896
115	1363.52	25.1605	1.1031
120	1366.13	26.2533	1.09762
125	1368.19	27.3742	1.09247
130	1369.73	28.4793	1.08763
135	1370.82	29.6261	1.08307
140	1371.49	30.8127	1.07875
145	1371.79	31.9994	1.07466
150	1371.73	33.1862	1.07078
155	1371.36	34.3733	1.06708
160	1370.69	35.5607	1.06357
165	1369.77	36.762	1.06021
170	1368.6	37.9495	1.057
175	1367.21	39.139	1.05392
180	1365.61	40.3308	1.05098
185	1363.83	41.5174	1.04815
190	1361.87	42.7058	1.04543
195	1359.76	43.9017	1.04281
200	1357.5	45.0909	1.04029
