iter	smin	time	rmse
0	0	0.00173344	3.6791
5	879.514	1.13361	1.79851
10	1102.72	2.2591	1.41565
15	1267.71	3.38898	1.2527
20	1376.77	4.50374	1.16427
25	1437.12	5.62149	1.10865
30	1458.63	6.72917	1.07001
35	1450.53	7.84207	1.04127
40	1420.33	8.95851	1.01886
45	1374.16	10.072	1.00073
50	1317.47	11.1854	0.985607
55	1255.42	12.301	0.972637
60	1192.98	13.4296	0.961272
65	1134.49	14.5544	0.951173
70	1083.26	15.6862	0.942148
75	1041.13	16.8046	0.934095
80	1008.29	17.9282	0.926956
85	983.686	19.0551	0.920681
90	965.626	20.1789	0.915199
95	952.396	21.2904	0.910415
100	942.654	22.414	0.906231
105	935.408	23.5321	0.902546
110	929.842	24.6558	0.899273
115	925.217	25.786	0.896344
120	920.935	26.908	0.893713
125	916.58	28.0386	0.891343
130	912.065	29.1702	0.889209
135	907.438	30.3189	0.887291
140	902.763	31.5119	0.885563
145	898.113	32.7275	0.884014
150	893.653	33.9544	0.882636
155	889.59	35.1695	0.881423
160	886.111	36.3756	0.880361
164	883.845	37.4497	0.879611
169	881.693	38.7144	0.878781
174	880.186	39.9347	0.878046
179	879.135	41.1497	0.877383
183	878.5	42.2167	0.876892
188	877.839	43.4383	0.876317
192	877.191	44.5264	0.875885
197	875.68	45.7654	0.87538
