iter	smin	time	rmse
0	0	1.2743e-05	3.6791
2	1458.43	1.64021	2.63602
4	2339.45	3.13948	2.25392
6	2874.72	4.57101	2.03997
8	3268.04	6.01175	1.89638
10	3575.97	7.51537	1.79072
12	3826.74	9.00316	1.70847
14	4036.64	10.5263	1.64195
16	4215.94	12.01	1.58663
18	4371.51	13.4637	1.53965
20	4508.27	14.9134	1.49909
22	4629.76	16.3629	1.46359
24	4738.63	17.8184	1.43217
26	4836.96	19.3017	1.40413
28	4926.34	20.7478	1.37889
30	5008.04	22.1945	1.35601
32	5083.12	23.6677	1.33517
34	5152.42	25.1725	1.31607
36	5216.62	26.6474	1.2985
38	5276.33	28.1217	1.28226
40	5332.03	29.5649	1.2672
42	5384.13	31.0087	1.25319
44	5433	32.4461	1.24011
46	5478.96	33.8884	1.22787
48	5522.26	35.3313	1.21639
50	5563.15	36.7672	1.20559
52	5601.83	38.1996	1.19542
54	5638.48	39.6325	1.18581
56	5673.27	41.0655	1.17673
58	5706.34	42.502	1.16812
60	5737.82	43.9366	1.15995
62	5767.81	45.3804	1.15219
