iter	time	rmse
0	1.39e-07	3.63944
4	1.11778	0.906648
8	2.23533	0.886052
12	3.35272	0.873459
16	4.47014	0.861248
20	5.58837	0.855514
24	6.7065	0.852143
28	7.82293	0.849228
32	8.93723	0.846083
36	10.0544	0.843213
40	11.1706	0.840941
44	12.287	0.839066
48	13.4032	0.837409
52	14.5211	0.83583
56	15.6361	0.834253
60	16.7526	0.832691
64	17.8691	0.831213
68	19.073	0.829896
72	20.1894	0.828753
76	21.3163	0.827766
80	22.49	0.826895
84	23.611	0.826097
88	24.7221	0.825346
92	25.8383	0.824617
96	27.0481	0.823924
100	28.1665	0.823241
104	29.29	0.822598
108	30.5032	0.821994
112	31.6705	0.82143
116	32.7836	0.820911
120	33.899	0.820462
124	35.0159	0.82005
128	36.1336	0.819678
132	37.2504	0.819341
136	38.3681	0.819038
140	39.4848	0.81876
144	40.6626	0.818512
148	41.7814	0.818276
152	42.8954	0.818049
156	44.0283	0.817839
160	45.1408	0.817632
